사업장명,소재지전화,소재지전체주소
연세대제일체육관,585-8176,충청남도 천안시 서북구 직산읍 모시리 206-13번지 우성@상가 5층 503호
한국태권도,041-573-8568,충청남도 천안시 서북구 쌍용동 388-5번지 3층
아이사랑 태권도장,588-7073,충청남도 천안시 서북구 성환읍 매주리 45-1 부영아파트
강호파이터(우슈),566-1333,충청남도 천안시 서북구 두정동 1005번지 2층
상록유도관,573-5245,충청남도 천안시 서북구 쌍용동 394-9번지 지하
태양태권도전문도장,577-5110,충청남도 천안시 서북구 성정동 725-7번지
태권박사 체육관,523-0234,충청남도 천안시 서북구 두정동 1216번지 2층
천안유도교실,555-8235,충청남도 천안시 동남구 신부동 681번지
마스터 태권도장,041-578-1233,충청남도 천안시 서북구 쌍용동 1561 월봉청솔2차@상가11-201
무궁화체육관,041-563-3388,충청남도 천안시 서북구 두정동 674 지하층
드림태권도스쿨,041-574-2945,충청남도 천안시 서북구 쌍용동 800번지
대한합기도진중관,041-579-5757,충청남도 천안시 서북구 쌍용동 1953번지 타워프라자B1호
소망튼튼체육관,041-583-8860,충청남도 천안시 서북구 성거읍 신월리 6-6번지 2층
청룡태권도,551-2520,충청남도 천안시 동남구 용곡동 554-6번지 외1필지 301호
용인대부영태권도장,555-1006,충청남도 천안시 동남구 목천읍 응원리 241-32번지 아이조움프라자301호
용인대석사청무태권도,041-571-2531,충청남도 천안시 서북구 쌍용동 565번지 한라동백아파트 상가동 201~204호
용인대독수리태권도,575-7966,충청남도 천안시 동남구 용곡동 482-26
세계로孝태권도교육관,041-567-0808,"충청남도 천안시 서북구 백석동 942번지 외2필지 ST프라자 202,203호"
태극태권도체육관,041-522-0770,충청남도 천안시 동남구 목천읍 신계리 383-6번지 (2층)
도솔 태권도 체육관,041-571-2122,충청남도 천안시 서북구 쌍용동 2045번지 현대6차아파트 상가동 302호
세계효 태권도장,041-551-8777,충청남도 천안시 서북구 불당동 799번지 외 1필지
BEAT 복싱,523-6797,충청남도 천안시 서북구 두정동 1063번지 401호
국가대표 태권도,561-7221,충청남도 천안시 서북구 불당동 8-3번지
크광 짐,564-8114,충청남도 천안시 서북구 불당동 698번지
천안BEAT손정오복싱클럽,041-577-7754,충청남도 천안시 동남구 신방동 49-19번지 (3층)
단국대 소망태권도장,584-1177,충청남도 천안시 서북구 성거읍 신월리 14-8번지 논현빌딩2층
안서올림픽태권도장,041-569-8864,충청남도 천안시 동남구 안서동 235-5번지
선은검도관,041-563-4137,충청남도 천안시 동남구 사직동 101번지 지층
국가대표용인대차암태권도,567-7989,충청남도 천안시 서북구 차암동 442번지 스마일시티상가A동 204-206호
장정구복싱클럽,561-5568,충청남도 천안시 서북구 두정동 1155번지 4층 401호
홍 복싱클럽,579-3552,충청남도 천안시 서북구 쌍용동 2103번지 204호
고려태권도,041-634-7387,충청남도 홍성군 홍북읍 신경리 1184
드림태권도장,041-631-5478,충청남도 홍성군 갈산면 상촌리 460-3
내포 경희대 태권도장,041-634-0110,충청남도 홍성군 홍북읍 내덕리 1179
한국 효 태권도장,041-578-8568,충청남도 천안시 동남구 신방동 13-4번지
고려대 김세원 태권도,041-555-1403,충청남도 천안시 서북구 성성동 696번지 천안레이크타운푸르지오 201-203호
용인대 불당 유도관,041-561-6565,충청남도 천안시 서북구 불당동 1823번지 502-503호
탑 태권도,041-577-0801,충청남도 천안시 동남구 신방동 1913번지
홍성Y복싱클럽,041-635-1238,충청남도 홍성군 홍성읍 월산리 846-4
홍성유도관,041-632-0100,충청남도 홍성군 홍성읍 오관리 499-1 지하
우리아이태권도장,041-633-9077,충청남도 홍성군 홍북읍 신경리 1204
D 파이널 짐,041-634-6631,충청남도 홍성군 홍북읍 신경리 1183 모아빌딩
청무체육관,041-634-6015,충청남도 홍성군 홍성읍 오관리 191-3
푸른태권도체육관,041-631-5555,충청남도 홍성군 홍성읍 남장리 75-3
경희대 태권도장,041-633-8000,충청남도 홍성군 홍성읍 오관리 645-1
홍성검도관,041-633-3388,충청남도 홍성군 홍성읍 고암리 656-25
경희대한얼태권도,592-6720,충청남도 천안시 동남구 신방동 1278번지
우슈태을무림관,041-632-1540,충청남도 홍성군 홍성읍 오관리 559 태영@상가 2층 201호
홍성제일태권도장,041-634-7225,충청남도 홍성군 홍성읍 남장리 106-11
소나무 태권도장,557-0709,충청남도 천안시 서북구 불당동 1524번지
부영홍성태권도합기도,041-634-1953,충청남도 홍성군 홍성읍 월산리 851 부영아파트
홍성 21세기 태권도 체육관,041-631-5447,충청남도 홍성군 홍성읍 남장리 106-20
고려태권도장,041-631-5477,충청남도 홍성군 홍성읍 오관리 611-5
홍성 복싱 체육관,041-631-7980,충청남도 홍성군 홍성읍 오관리 368-5
차오름 태권도장,041-633-7111,충청남도 홍성군 홍성읍 옥암리 256-1
용인대 홍성 태권스쿨,041-632-3328,충청남도 홍성군 홍성읍 남장리 106-17
희망태권도,041-566-6611,충청남도 천안시 동남구 신부동 289-35번지
차오름태권도,041-567-5533,충청남도 천안시 동남구 목천읍 신계리 107-29번지
용인대 청당 태권도,041-562-2824,충청남도 천안시 동남구 청당동 306번지 청당동 한양수자인 블루시티
선웅 검도관,041-553-4700,충청남도 천안시 서북구 불당동 809번지 1층
국가대표불무태권도,041-551-9331,충청남도 천안시 서북구 불당동 1494번지 1동 201-202호
슈퍼스타멀티짐 6관,041-567-9867,충청남도 천안시 동남구 안서동 234-11번지
단국대 도솔태권도,041-555-1285,충청남도 천안시 서북구 불당동 1813번지
예건YTS태권도,041-567-1235,충청남도 천안시 서북구 불당동 1467번지
태권 슐레,041-553-5580,충청남도 천안시 동남구 신방동 1943
용인대 승리체육관,858-5085,서울특별시 구로구 가리봉동 115-113 2층
경희대 신화 태권도,2685-4347,서울특별시 구로구 고척동 97-33 4층
남부 태권도체육관,2643-2282,서울특별시 강서구 화곡동 802-19번지 2층
경희체육관(태권도),2212-7843,서울특별시 동대문구 전농동 648-104번지
경희태권도,964-6801,서울특별시 동대문구 청량리동 61-0번지
해봉체육관,658-8336,서울특별시 강서구 등촌동 697-0번지 6층
나토얀 태권도 스쿨,2694-1040,서울특별시 강서구 화곡동 799-22번지 2층
국가대표 태강원,2665-1311,서울특별시 강서구 방화동 260-8번지 2층
사당 유도관,594-0627,서울특별시 동작구 사당동 265-11번지 지층
동작복싱클럽,02-821-1282,서울특별시 동작구 노량진동 148-88번지 3층
JSK경호아카데미,6082-3693,서울특별시 강서구 화곡동 478-1번지 2층
신안태권도체육관,668-4535,서울특별시 강서구 마곡동 423번지 신안아파트상가301
충무검도관,2662-8768,서울특별시 강서구 방화동 453-45번지 지층
백호경희대태권도,2665-5664,서울특별시 강서구 방화동 839번지 방화2단지아파트 관리동
화곡 현대태권도장,2695-4160,서울특별시 강서구 화곡동 339-2
경희체육관,2666-5580,서울특별시 강서구 공항동 60-173번지
진일태권도,659-4747,서울특별시 강서구 가양동 1474번지 지층
염창 나토얀 태권도,3663-2007,서울특별시 강서구 염창동 264-13번지 3층
빅토리태권도,2663-4347,서울특별시 강서구 방화동 553-30번지 3층
새신라체육관,662-6495,서울특별시 강서구 공항동 667-9번지
전진만 챔피언 복싱클럽,02-815-1282,서울특별시 동작구 상도동 324-2번지 3층
MEGA 유도 CLUB,2685-8565,서울특별시 구로구 개봉동 403-55
매봉체육관,683-8176,서울특별시 구로구 개봉동 97-3
K-블랙벨트 태권도장,862-4097,서울특별시 구로구 구로동 170-1
석사 경희대 태권도,2637-6150,서울특별시 구로구 구로동 1267 태영타운단지상가 A동 206호
가천대 아이원 태권도,852-1178,서울특별시 구로구 구로동 781-25번지 2층
청우태권도장,2616-9397,서울특별시 구로구 개봉동 259-15
구검관,02-2683-25175,서울특별시 구로구 개봉동 403-229
용인대예도태권도,856-6646,서울특별시 구로구 구로동 539-1
스타 태권도,857-0991,서울특별시 구로구 구로동 685-155 구일프라자 302
브레인 태권도,817-8879,서울특별시 동작구 신대방동 338-19번지
코리안 복싱클럽,585-7372,서울특별시 동작구 사당동 1003-8번지 태평빌라 지층
강철 태권도,822-3422,서울특별시 동작구 대방동 375-40번지 2층
아리랑 태권도장,812-0999,서울특별시 동작구 상도동 361-20번지 1층
용인대 파워 유도관,3280-6588,서울특별시 동작구 신대방동 361-57번지 지하 1층
타이거킥스 태권도장,02-6015-3956,서울특별시 동작구 사당동 162-95 2층
사당 복싱체육관,02-587-4400,서울특별시 동작구 사당동 1046-32번지 외 1필지 3층
오케이 복싱,02-816-1230,서울특별시 동작구 상도1동 708-1 외 1필지 지층
한양대 탑 태권도,813-1018,"서울특별시 동작구 상도동 533번지 상도엠코타운 애스톤파크 401동 B302,303호"
국가대표 넘버원 태권도,02-814-5187,서울특별시 동작구 상도동 414번지 건영아파트 상가 218호
한국체대 용호 태권도,02-813-3667,서울특별시 동작구 상도동 211-386번지
경희대 효 태권도,32808787,서울특별시 동작구 상도동 521번지 포스코더샵 1차 A동 상가 205호
Tk. Heroes (티케이. 히어로즈),02-823-2025,서울특별시 동작구 대방동 395-5번지
The Boxing Lab(더복싱랩),823-3693,서울특별시 동작구 흑석동 97-2번지
강담태권도,02-845-7239,서울특별시 동작구 신대방동 713번지 롯데낙천대아파트 상가동 201호
명무대검도관,813-6878,서울특별시 동작구 상도동 476번지 4층
한국체대 백호 김기준 태권도,681-6176,서울특별시 구로구 개봉동 38-10
한양대 박사 비룡총본관,2682-8333,서울특별시 구로구 고척동 253-372 지하층
개웅태권도체육관,687-4222,서울특별시 구로구 개봉동 349-1 4층
한체대 신미림태권도장,2678-3563,"서울특별시 구로구 신도림동 642-0 외1필지대림1차상가404,405호"
한국체대천마태권도장,862-8724,서울특별시 구로구 구로동 314-1
백호총본관,677-3569,서울특별시 구로구 신도림동 393-16 26
신개명체육관,612-4772,서울특별시 구로구 개봉동 327-22 47
점프스쿨,02-2066-4338,"서울특별시 구로구 천왕동 164-8번지 쿠앤하우스 2층 201,202호"
오류 경희대 체육관,2617-0094,서울특별시 구로구 오류동 338-0 동부골든(아)상가3층
경희대태권도장,2636-8977,서울특별시 구로구 신도림동 641-0 현대(아)상가지층
경희대 석사비룡태권도장,613-1607,서울특별시 구로구 오류동 13-21
강우 태권도,0220665767,서울특별시 구로구 개봉동 130-22번지 3층전체
정함체육관,0220600020,서울특별시 구로구 개봉동 403-103번지 지하층
아람체육관,868-2020,서울특별시 구로구 구로동 685-147 현대상가 3층
타이거,611-3774,서울특별시 구로구 개봉동 180-1 한마을(아) 상가304호
경희대태권도,2066-0066,서울특별시 구로구 개봉동 481 현대상가 2동 305호
경희대 석사 상현 태권도,02-822-4625,"서울특별시 동작구 상도동 531번지 상도 엠코타운 센트럴파크 상가 3동 201, 205호"
블랙스톤 복싱짐,02-825-1282,서울특별시 동작구 흑석동 52-1 지층
아이사랑 태권도,812-6400,서울특별시 동작구 흑석동 339번지 흑석한강센트레빌 2차 상가동 B201호
신대방 복싱,070-8772-8831,서울특별시 동작구 신대방동 694-5번지 3층
주먹다짐 24시,02-3474-8285,서울특별시 동작구 사당동 1006-11 지하1층
비룡체육관,856-1038,서울특별시 구로구 구로동 762-8 202호
경희대 명인태권도장,2688-0077,서울특별시 구로구 고척동 72-7 문화골든타워 3층 302호
고려태권도장,2688-9007,서울특별시 구로구 오류동 156 세명프라자 401호
대호 태권도장,2060-0842,서울특별시 구로구 개봉동 482 동양빌딩 302호
태비(태권도장),3280-0018,"서울특별시 동작구 노량진동 325번지 신동아315,316호 325동"
철심관,3281-7379,서울특별시 구로구 구로동 766-2 외 2필지  지하1층
현대태권도장,2625-6333,"서울특별시 구로구 개봉동 480 현대홈타운2단지상가  203호, 204호"
두산태권도장,868-7942,"서울특별시 구로구 구로동 1265 두산아파트단지상가 301동 302호,303호,304호"
이근식복싱체육관,832-5671,서울특별시 구로구 구로동 1260 이화우성아파트 상가동 지층 101동 102호
한성체육관(태권도),822-3947,서울특별시 동작구 상도동 366-20번지 2층
